iter	Passed	Remaining
697	6406	2771
698	6419	2764
699	6430	2755
700	6442	2747
701	6451	2738
702	6457	2728
703	6465	2718
704	6472	2708
705	6480	2698
706	6492	2690
707	6499	2680
708	6507	2670
709	6519	2662
710	6528	2653
711	6538	2644
712	6545	2634
713	6553	2625
714	6561	2615
715	6572	2607
716	6582	2598
717	6589	2587
718	6598	2578
719	6604	2568
720	6620	2561
721	6628	2552
722	6633	2541
723	6643	2532
724	6652	2523
725	6660	2513
726	6670	2504
727	6676	2494
728	6684	2484
729	6694	2475
730	6702	2466
731	6713	2457
732	6722	2448
733	6729	2438
734	6737	2429
735	6750	2421
736	6756	2411
737	6767	2402
738	6778	2394
739	6784	2383
740	6791	2373
741	6797	2363
742	6807	2354
743	6813	2344
744	6821	2334
745	6827	2324
746	6834	2314
747	6841	2305
748	6848	2294
749	6855	2285
750	6861	2275
751	6869	2265
752	6878	2256
753	6886	2246
754	6892	2236
755	6902	2227
756	6912	2218
757	6920	2209
758	6931	2200
759	6940	2191
760	6947	2182
761	6956	2172
762	6963	2162
763	6973	2153
764	6986	2146
765	7003	2139
766	7014	2130
767	7027	2122
768	7039	2114
769	7049	2105
770	7061	2097
771	7074	2089
772	7087	2081
773	7098	2072
774	7114	2065
775	7124	2056
776	7136	2048
777	7147	2039
778	7157	2030
779	7169	2022
780	7183	2014
781	7195	2006
782	7210	1998
783	7237	1994
784	7251	1986
785	7259	1976
786	7271	1968
787	7282	1959
788	7292	1950
789	7302	1941
790	7311	1931
791	7322	1923
792	7332	1914
793	7342	1904
794	7349	1895
795	7363	1887
796	7371	1877
797	7379	1867
798	7387	1858
799	7401	1850
800	7412	1841
801	7435	1835
802	7452	1828
803	7461	1819
804	7471	1809
805	7478	1800
806	7490	1791
807	7500	1782
808	7513	1773
809	7527	1765
810	7539	1756
811	7548	1747
812	7560	1739
813	7573	1730
814	7580	1720
815	7588	1711
816	7595	1701
817	7605	1692
818	7615	1682
819	7622	1673
820	7631	1663
821	7638	1654
822	7647	1644
823	7657	1635
824	7665	1625
825	7673	1616
826	7682	1607
827	7691	1597
828	7700	1588
829	7708	1578
830	7714	1568
831	7726	1560
832	7735	1550
833	7741	1540
834	7748	1531
835	7756	1521
836	7766	1512
837	7772	1502
838	7782	1493
839	7791	1484
840	7799	1474
841	7809	1465
842	7816	1455
843	7823	1446
844	7833	1437
845	7843	1427
846	7858	1419
847	7867	1410
848	7877	1401
849	7887	1391
850	7898	1382
851	7911	1374
852	7925	1365
853	7937	1357
854	7948	1347
855	7960	1339
856	7971	1330
857	7983	1321
858	7994	1312
859	8003	1302
860	8012	1293
861	8022	1284
862	8032	1275
863	8039	1265
864	8053	1256
865	8073	1249
866	8081	1239
867	8100	1231
868	8112	1222
869	8123	1213
870	8137	1205
871	8150	1196
872	8160	1187
873	8179	1179
874	8192	1170
875	8200	1160
876	8211	1151
877	8223	1142
878	8232	1133
879	8244	1124
880	8258	1115
881	8270	1106
882	8278	1096
883	8288	1087
884	8294	1077
885	8303	1068
886	8314	1059
887	8321	1049
888	8339	1041
889	8362	1033
890	8379	1025
891	8387	1015
892	8400	1006
893	8412	997
894	8423	988
895	8432	978
896	8447	970
897	8462	961
898	8477	952
899	8487	943
900	8499	933
901	8510	924
902	8521	915
903	8535	906
904	8545	897
905	8554	887
906	8563	878
907	8570	868
908	8580	858
909	8590	849
910	8600	840
911	8612	831
912	8622	821
913	8629	811
914	8638	802
915	8644	792
916	8653	783
917	8659	773
918	8670	764
919	8679	754
920	8688	745
921	8697	735
922	8706	726
923	8716	716
924	8727	707
925	8734	698
926	8748	688
927	8761	679
928	8767	670
929	8777	660
930	8785	651
931	8794	641
932	8808	632
933	8814	622
934	8824	613
935	8830	603
936	8840	594
937	8849	584
938	8859	575
939	8867	565
940	8878	556
941	8886	547
942	8898	537
943	8907	528
944	8917	518
945	8929	509
946	8941	500
947	8949	490
948	8955	481
949	8962	471
950	8971	462
951	8977	452
952	8986	443
953	8995	433
954	9004	424
955	9014	414
956	9020	405
957	9027	395
958	9035	386
959	9042	376
960	9049	367
961	9058	357
962	9066	348
963	9076	338
964	9081	329
965	9089	319
966	9095	310
967	9103	300
968	9109	291
969	9118	282
970	9123	272
971	9130	263
972	9136	253
973	9147	244
974	9154	234
975	9165	225
976	9177	216
977	9194	206
978	9205	197
979	9219	188
980	9230	178
981	9239	169
982	9248	159
983	9259	150
984	9266	141
985	9274	131
986	9285	122
987	9291	112
988	9300	103
989	9307	94
990	9317	84
991	9324	75
992	9333	65
993	9341	56
994	9352	46
995	9364	37
996	9376	28
997	9383	18
998	9391	9
999	9398	0
